"count";"taxontreedefid";"rank_";"taxon_full_name"
1;13;family;Plocospermataceae
1;13;family;Poaceae
1;13;family;Podocarpaceae
1;13;family;Polypodiaceae
1;13;family;Pontederiaceae
1;13;family;Portulacaceae
1;13;family;Posidoniaceae
1;13;family;Potamogetonaceae
1;13;family;Psilotaceae
1;13;family;Psilotales
1;13;family;Pteridaceae
1;13;family;Pteridophyllaceae
1;13;family;Rafflesiaceae
1;13;family;Rapateaceae
1;13;family;Rhabdodendraceae
1;13;family;Roridulaceae
1;13;family;Rousseaceae
1;13;family;Rubiaceae
1;13;family;Ruppiaceae
1;13;family;Salviniaceae
1;13;family;Sapotaceae
1;13;family;Saururaceae
1;13;family;Scheuchzeriaceae
1;13;family;Schizaeaceae
1;13;family;Schizaeales
1;13;family;Schoepfiaceae
1;13;family;Selaginellaceae
1;13;family;Selaginellales
1;13;family;Simarubaceae
1;13;family;Siparunaceae
1;13;family;Smilacaceae
1;13;family;Sphagnaceae
1;13;family;Sphagnales
1;13;family;Sphagnopsida
1;13;family;Sphenocleaceae
1;13;family;Stemonaceae
1;13;family;Sterculiaceae
1;13;family;Stixaceae
1;13;family;Strelitziaceae
1;13;family;Strombosiaceae
1;13;family;Surianaceae
1;13;family;Symplocaceae
1;13;family;Taccaceae
1;13;family;Talinaceae
1;13;family;Tamaricales
1;13;family;Taxaceae
1;13;family;Taxodiaceae
1;13;family;Tetradiclidaceae
1;13;family;Tetramelaceae
1;13;family;Tetrameristaceae
1;13;family;Thelephoraceae
1;13;family;Thelephorales
1;13;family;Thelypteridaceae
1;13;family;Thesiaceae
1;13;family;Ticodendraceae
1;13;family;Torricelliaceae
1;13;family;Trigoniaceae
1;13;family;Trilliaceae
1;13;family;Trimeniaceae
1;13;family;Triuridaceae
1;13;family;Trochodendraceae
1;13;family;Trochodendrales
1;13;family;Typhaceae
1;13;family;Ulmaceae
1;13;family;Verbenaceae
1;13;family;Viburnaceae
1;13;family;Vivianiaceae
1;13;family;Vochysiaceae
1;13;family;Wellstediaceae
1;13;family;Woodsiaceae
1;13;family;Ximeniaceae
1;13;family;Xyridaceae
1;13;family;Zamiaceae
1;13;family;Zingiberaceae
1;13;family;Zosteraceae
1;13;genus; A.Gray
1;13;genus;( McClure & E.W.Sm. ) C.E.Calder n & Soderstr.
1;13;genus;(A.DC.) Pichon
1;13;genus;(Aiton) Sm.
1;13;genus;(Benth. & Hook.f.) Neupane & N.Wikstr.
1;13;genus;(Benth.) de Wit
1;13;genus;(Benth.) Prain
1;13;genus;(Benth.) T.Yamaz.
1;13;genus;(Bergmans ex J.W. Ingram) D.H. Kent
1;13;genus;(Blume)R.M.Sm.
1;13;genus;(Broth.) W.R. Buck & B.C. Tan 
1;13;genus;(Buch.-Ham. ex D.Don) Pruski & Anderb.
1;13;genus;(C.B.Clarke) Ridl.
1;13;genus;(C.B.Clarke) Yin Z.Wang
1;13;genus;(Cass.) Cass. 
1;13;genus;(Chrtek & Chrtkovi) J.P. Bailey
1;13;genus;(Craib) Tirveng.
1;13;genus;(Crantz) Besser x (L. (Besser)
1;13;genus;(Cuatrec.)Cuatrec.
1;13;genus;(DC.) Al-Shehbaz & C.D.Bailey
1;13;genus;(DC.) Gray
1;13;genus;(DC.) Miers
1;13;genus;(Dumort.) Fourr.
1;13;genus;(Eiger) Cranfill
1;13;genus;(Endl.) T. Post & Kuntze
1;13;genus;(Engl.) D'Arcy
1;13;genus;(Fenzl) Seem.
1;13;genus;(Fr.)Kerguelen
1;13;genus;(G.Mann & H.Wendl.) Schaedtler
1;13;genus;(Gottsche) Schiffn.
1;13;genus;(Hack. ex Kuntze) Pe-ail.
1;13;genus;(Herter) Holub
1;13;genus;(Hiern) Keay
1;13;genus;(Hieron.) H.Rob.
1;13;genus;(Hitchc. & Chase) Gould
1;13;genus;(Hook)Garay
1;13;genus;(Hook.f.) Tirveng.
1;13;genus;(K.Koch) K.Koch
1;13;genus;(K.Schum.) Milne-Redh.
1;13;genus;(Kunth)Spreng.
1;13;genus;(L.) A.N. Egan & A. Bello
1;13;genus;(L.) Britton 
1;13;genus;(L.)Clairv.
1;13;genus;(L.)R.M.Tryon
1;13;genus;(Lam.) Tirveng.
1;13;genus;(Lindl.) G.L.Nesom
1;13;genus;(M.Martens & Galeotti)H.M.Hern.
1;13;genus;(Makino) Nakai
1;13;genus;(Maxon) L.D. G mez X Sw.
1;13;genus;(Maxon) M.D.Turner & R.A.White
1;13;genus;(Milde) Chiov.
