dassco:taxonID	dassco:name	dassco:author	dassco:fullname	dassco:epithet	dassco:rankid	dassco:extinct	dwc:taxonID	dwc:scientificName	dwc:scientificNameAuthorship	dwc:parentNameUsageID	dwc:parentNameUsage	dwc:acceptedNameUsageID	dwc:acceptedNameUsage	dwc:taxonomicStatus	dwc:taxonRank	sp:taxonID	sp:fullname	sp:author	sp:rankid	sp:rankname	sp:parentname	sp:taxonnr	sp:taxonnrsource
7e7749115054fae961995ac0126bd8b7	Carex vahlii var. interalpina	Not on sheet	Carex vahlii var. interalpina Not on sheet		240	false										6174263	Carex vahlii var. interalpina		240	variety	Carex vahlii		
ad35e17bf4c6a0a191c51388c506f92c	Carum carvi var. atrorubens	Lange	Carum carvi var. atrorubens Lange		240	false										6182445	Carum carvi var. atrorubens Lange		240	variety	Carum carvi		
896b1d42389af98076cbc1f1531dac45	Cassia cathartica var. cathartica	Not on Sheet	Cassia cathartica var. cathartica Not on Sheet		240	false										6121955	Cassia cathartica var. cathartica		240	variety	Cassia cathartica		
5e339c420f285cc86de1fe0a112a503f	Cassia cytisoides var. blanchetii (Benth.) H.S. Irwin & Barneby	(Benth.) H.S.Irwin & Barneby	Cassia cytisoides var. blanchetii (Benth.) H.S. Irwin & Barneby (Benth.) H.S.Irwin & Barneby		240	false										6121970	Cassia cytisoides var. blanchetii (Benth.) H.S. Irwin & Barneby		240	variety	Cassia cytisoides		
94fbfbf7d89d40814b502aa807ab49c1	Cassia neesiana var. laxiracemosa (Harms) H.S. Irwin & Barneby	(Harms) H.S.Irwin & Barneby	Cassia neesiana var. laxiracemosa (Harms) H.S. Irwin & Barneby (Harms) H.S.Irwin & Barneby		240	false										6122001	Cassia neesiana var. laxiracemosa (Harms) H.S. Irwin & Barneby		240	variety	Cassia neesiana		
1b572c7a68a207be49bcf2d126e52fc8	Cassia neesiana var. subnitida (Taub.) H.S. Irwin & Barneby	(Taub.) H.S.Irwin & Barneby	Cassia neesiana var. subnitida (Taub.) H.S. Irwin & Barneby (Taub.) H.S.Irwin & Barneby		240	false										6122000	Cassia neesiana var. subnitida (Taub.) H.S. Irwin & Barneby		240	variety	Cassia neesiana		
e1c24ae3fb4b7ea018c5b805dd6cf49a	Cassia orbiculata var. trichothyrsus (Harms) H.S. Irwin & Barneby	(Harms) H.S.Irwin & Barneby	Cassia orbiculata var. trichothyrsus (Harms) H.S. Irwin & Barneby (Harms) H.S.Irwin & Barneby		240	false										6122005	Cassia orbiculata var. trichothyrsus (Harms) H.S. Irwin & Barneby		240	variety	Cassia orbiculata		
4214c75901a0c699757c567995ad9219	Cassia trachycarpa var. acutifolia (Benth.) H.S. Irwin & Barneby	(Benth.) H.S.Irwin & Barneby	Cassia trachycarpa var. acutifolia (Benth.) H.S. Irwin & Barneby (Benth.) H.S.Irwin & Barneby		240	false										6122014	Cassia trachycarpa var. acutifolia (Benth.) H.S. Irwin & Barneby		240	variety	Cassia trachycarpa		
a8a1cf82e12809a573782d9ec360e2fc	Catabrosa aquatica var. laurentiana		Catabrosa aquatica var. laurentiana 		240	false										366256	Catabrosa aquatica var. laurentiana		240	variety	Catabrosa aquatica		
3b850de38df6488ac8de8ba2d8fbd1a1	Catabrosa aquatica var. subtilis	Hook.	Catabrosa aquatica var. subtilis Hook.		240	false										6182551	Catabrosa aquatica var. subtilis Hook.		240	variety	Catabrosa aquatica		
ad6d0b96d2dd8d14095f46094d0f44fa	Cayaponia americana var. angustiloba	Not on sheet	Cayaponia americana var. angustiloba Not on sheet		240	false										6176229	Cayaponia americana var. angustiloba		240	variety	Cayaponia americana		
f1caf5e4f0cbb97e52f70f889b50a9c7	Cayaponia americana var. angustiloba	Not on sheet	Cayaponia americana var. angustiloba Not on sheet		240	false										6120690	Cayaponia americana var. angustiloba		240	variety	Cayaponia americana		
62ef4d7db70534b982bb6684924abc1c	Cayaponia americana var. vulgaris	Not on sheet	Cayaponia americana var. vulgaris Not on sheet		240	false										6120689	Cayaponia americana var. vulgaris		240	variety	Cayaponia americana		
1eb932a0c73b997d6c9b71f3fab7983f	Centaurea amadanensis var. gymnocladus	(Jaub. & Spach) Wagenitz	Centaurea amadanensis var. gymnocladus (Jaub. & Spach) Wagenitz		240	false										6118771	Centaurea amadanensis var. gymnocladus (Jaub. & Spach) Wagenitz		240	variety	Centaurea amadanensis		
24ce537c9299415aa2295226a415bd57	Centaurea boissieri var. nevadensis	Bioss. & illegible	Centaurea boissieri var. nevadensis Bioss. & illegible		240	false										6174854	Centaurea boissieri var. nevadensis Bioss. & illegible		240	variety	Centaurea boissieri		
761e89d06924dc5622043463e982a303	Centaurea funkii var. xeranthemoides	Lange	Centaurea funkii var. xeranthemoides Lange		240	false										6174852	Centaurea funkii var. xeranthemoides Lange		240	variety	Centaurea funkii		
30386d567b7b2a4f8f22950c84423e01	Centaurea rhapontica var. lyrata	Bellardi	Centaurea rhapontica var. lyrata Bellardi		240	false										6175095	Centaurea rhapontica var. lyrata Bellardi		240	variety	Centaurea rhapontica		
fca26674a62ef3c41ab163d6cf6d68b0	Cerastium alpinum var. glauduliferum		Cerastium alpinum var. glauduliferum 		240	false										4051721	Cerastium alpinum var. glauduliferum		240	variety	Cerastium alpinum		
83ade6afdf80c8b55c75857a8804ad12	Cerastium alpinum var. glutinosum		Cerastium alpinum var. glutinosum 		240	false										4051719	Cerastium alpinum var. glutinosum		240	variety	Cerastium alpinum		
