dassco:taxonID	dassco:name	dassco:author	dassco:fullname	dassco:epithet	dassco:rankid	dassco:extinct	dwc:taxonID	dwc:scientificName	dwc:scientificNameAuthorship	dwc:parentNameUsageID	dwc:parentNameUsage	dwc:acceptedNameUsageID	dwc:acceptedNameUsage	dwc:taxonomicStatus	dwc:taxonRank	sp:taxonID	sp:fullname	sp:author	sp:rankid	sp:rankname	sp:parentname	sp:taxonnr	sp:taxonnrsource
26a06d97d49d42ea2f78946d7a8b3678	Blepharis glomerata	Poir.	Blepharis glomerata Poir.		220	false										6170310	Blepharis glomerata Poir.		220	Species	Blepharis		
e0f8545d3390c6a919a4508b122a14fd	Blepharis integrifolia	(L. f.) Krauss	Blepharis integrifolia (L. f.) Krauss		220	false										6117304	Blepharis integrifolia (L. f.) Krauss		220	Species	Blepharis		
c81b51efa225ed3d416ad235f086ae9e	Blepharis integrifolia	(L. f.) E.Mey. & Drège ex Schinz	Blepharis integrifolia (L. f.) E.Mey. & Drège ex Schinz		220	false										6129607	Blepharis integrifolia (L. f.) E.Mey. & Drège ex Schinz		220	Species	Blepharis		
1deb1987837cb5e5c52e672f94185dc8	Blepharis leptophylla	Hiern	Blepharis leptophylla Hiern		220	false										6170307	Blepharis leptophylla Hiern		220	Species	Blepharis		
9071b910c3e84f1a0b2c887e4320eb79	Blepharis maderaspatensis	(L.) Hayne ex Roth	Blepharis maderaspatensis (L.) Hayne ex Roth		220	false										6115710	Blepharis maderaspatensis (L.) Hayne ex Roth		220	Species	Blepharis		
36f6437949c2bbd8250fcfc7183de7f5	Blepharis maderaspatensis	(L.) Heyne ex Roth	Blepharis maderaspatensis (L.) Heyne ex Roth		220	false										6116767	Blepharis maderaspatensis (L.) Heyne ex Roth		220	Species	Blepharis		
42818346932d15a0f34915c79795ec6c	Blepharis procumbens	(L. f.) Pers.	Blepharis procumbens (L. f.) Pers.		220	false										6114380	Blepharis procumbens (L.f.) Pers.		220	Species	Blepharis		
efeca0e32756c59165eab67393ae7dcd	Blepharis rubiaefolia	Schumach. ex Thonn.	Blepharis rubiaefolia Schumach. ex Thonn.		220	false										6172394	Blepharis rubiaefolia Schumach. ex Thonn.		220	Species	Blepharis		
27d1b0df16ffe76365226d888fb490de	Blepharocalyx reinhardtiana		Blepharocalyx reinhardtiana 		220	false										6179375	Blepharocalyx reinhardtiana		220	Species	Blepharocalyx		
19ac319afc7635b29929815299d2e188	Blepharodon ampliflorus E. Fourn.	E.Fourn.	Blepharodon ampliflorus E. Fourn. E.Fourn.		220	false										6174625	Blepharodon ampliflorus E.Fourn.		220	Species	Blepharodon		
8add4401701b477c1c761fa198b2d4d6	Blepharodon bicuspidatus E. Fourn.	E.Fourn.	Blepharodon bicuspidatus E. Fourn. E.Fourn.		220	false										6118463	Blepharodon bicuspidatus E.Fourn.		220	Species	Blepharodon		
3006ef433776fa179c3941b9817722af	Blumea aurita	(L. f.) DC.	Blumea aurita (L. f.) DC.		220	false										6116868	Blumea aurita (L. f.) DC.		220	Species	Blumea		
de3c0f0ed6e809059c19b6f3c21e5afc	Blumea guineensis	DC.	Blumea guineensis DC.		220	false										6172550	Blumea guineensis DC.		220	Species	Blumea		
a125f14b120853a7e4225a44088358d6	Blyttia spiralis	(Forssk.) Hepper & Wood	Blyttia spiralis (Forssk.) Hepper & Wood		220	false										6115814	Blyttia spiralis (Forssk.) Hepper & Wood		220	Species	Blyttia		
109bff2539b90d3e969747b4d7782986	Boea hygrometrica	R. Br.	Boea hygrometrica R. Br.		220	false										6182424	Boea hygrometrica R.Br.		220	Species	Boea		
f2a043b0368bebd86bacf992ae433215	Boea hygrometrica	R.Br.	Boea hygrometrica R.Br.		220	false										433330	Boea hygrometrica R.Br.		220	Species	Boea		
0173147e005936e59dee9ac96db414c4	Boechera holboelii	(Hornem.) Á.Löve & D.Löve	Boechera holboelii (Hornem.) Á.Löve & D.Löve		220	false										4051248	Boechera holboelii (Hornem.) Á.Löve & D.Löve		220	Species	Boechera		
5fed0600ba399d249faf86c3f741e21a	Boechera holboellii (Hornem.) Á. Löve & D. Löve	(Hornem.) Á.Löve & D.Löve	Boechera holboellii (Hornem.) Á. Löve & D. Löve (Hornem.) Á.Löve & D.Löve		220	false										6174290	Boechera holboellii (Hornem.) Á. Löve & D. Löve		220	Species	Boechera		
1d2b97b5784d8d04dbda827bef548748	Boehmeria grandifolia	Vahl	Boehmeria grandifolia Vahl		220	false										6181277	Boehmeria grandifolia Vahl		220	Species	Boehmeria		
15cbd58ff2f6be106b8b60fde58dbe59	Boehmeria japonica (L. f.) Miq.	(L.fil.) Miq.	Boehmeria japonica (L. f.) Miq. (L.fil.) Miq.		220	false										6127333	Boehmeria japonica (L. f.) Miq.		220	Species	Boehmeria		
0cacc43c1be97120d0db462c9f42a34f	Boehmeria macrophylla	Hornem.	Boehmeria macrophylla Hornem.		220	false										6127332	Boehmeria macrophylla Hornem.		220	Species	Boehmeria		
6d3652aac62d6fcc6f4c9dbdf6141d12	Boerhavia diffusa	L. sensu Forssk.	Boerhavia diffusa L. sensu Forssk.		220	false										6171240	Boerhavia diffusa L. sensu Forssk.		220	Species	Boerhavia		
7693b22431c9ae2cb1c67b9a99a1295b	Boerhavia paniculata	Ard.	Boerhavia paniculata Ard.		220	false										6172397	Boerhavia paniculata Ard.		220	Species	Boerhavia		
7d850d03394a4b9928b6a851b792ab17	Boerhavia patula	Vahl	Boerhavia patula Vahl		220	false										6124676	Boerhavia patula Vahl		220	Species	Boerhavia		
a9f573fdf15b30f96926da67b53063b9	Boerhavia sericea	J. König	Boerhavia sericea J. König		220	false										6173902	Boerhavia sericea J.König		220	Species	Boerhavia		
b452d6f65d19f071548ecef2f4ebaa82	Boerlagiodendron simplicifolia	Elmer	Boerlagiodendron simplicifolia Elmer		220	false										6174503	Boerlagiodendron simplicifolia Elmer		220	Species	Boerlagiodendron		
c6586550f1ef1005ae26ee9fb8c324af	Bolbitis fluvialitis	(Hook.) Ching	Bolbitis fluvialitis (Hook.) Ching		220	false										6115695	Bolbitis fluvialitis (Hook.) Ching		220	Species	Bolbitis		
e2d71fcd7937f24ee433906b5ed4030f	Bolbitis hastata	(E. Fourn.) Hennipman	Bolbitis hastata (E. Fourn.) Hennipman		220	false										6182241	Bolbitis hastata (E. Fourn.) Hennipman		220	Species	Bolbitis		
5f97dc9b7b8c6a038e0b58a073842a91	Bolbitis phanerodictyum	(Baker) C. Chr.	Bolbitis phanerodictyum (Baker) C. Chr.		220	false										6171063	Bolbitis phanerodictyum (Baker) C. Chr.		220	Species	Bolbitis		
ecdb4507c256b3b1d1fcf8af47e696be	Bolbitis portoricencis	(Spreng.) Hennipman	Bolbitis portoricencis (Spreng.) Hennipman		220	false										6128499	Bolbitis portoricencis (Spreng.) Hennipman		220	Species	Bolbitis		
f1cfa8319fefd3ec4d2c46588ac2c700	Bomarea liebmanniana	Kraenzl.	Bomarea liebmanniana Kraenzl.		220	false										6117649	Bomarea liebmanniana Kraenzl.		220	Species	Bomarea		
9c29b7d54f9f55cd9e47902611e93f69	Bomarea miniata	Kunth	Bomarea miniata Kunth		220	false										6173832	Bomarea miniata Kunth		220	Species	Bomarea		
1e24763cc37af6d37a1f4fd5afa0e76b	Bombax guineense	Thonn.	Bombax guineense Thonn.		220	false										6172398	Bombax guineense Thonn.		220	Species	Bombax		
650cb63aba1eede302f278c2e30e3b63	Bombax parviflora	Not on sheet	Bombax parviflora Not on sheet		220	false										6175061	Bombax parviflora		220	Species	Bombax		
87b56109e7dfcafb6dc54fa565f85a65	Bombax rusbyi	Baker f.	Bombax rusbyi Baker f.		220	false										6175577	Bombax rusbyi Baker f.		220	Species	Bombax		
b646cdfd722f247d7b1f74349aafa29e	Bombax stenopetalum	K. Schum.	Bombax stenopetalum K. Schum.		220	false										6175570	Bombax stenopetalum K.Schum.		220	Species	Bombax		
bcec5ad859cf11340a3645fe12b0dec4	Bombos borbonicus		Bombos borbonicus 		220	false										6170868	Bombos borbonicus		220	Species	Bombos		
